Date,Base,Macro,SPY
2006-07-31,-0.055755111408952174,-0.05575511140895206,-0.023236510840009994
2006-08-31,-0.05887849302599513,-0.058878493025994905,-0.0019210599515060434
2006-09-30,-0.04676586907520597,-0.04676586907520597,0.0
2006-10-31,-0.011610073422762102,-0.014752412800067671,0.0
2006-11-30,0.0,0.0,0.0
2006-12-31,-0.005106239460184514,-0.005106239460184514,0.0
2007-01-31,0.0,0.0,0.0
2007-02-28,-0.0024528672148230735,-0.0024528672148229624,-0.019617477420542317
2007-03-31,0.0,0.0,-0.00825554467360623
2007-04-30,0.0,0.0,0.0
2007-05-31,0.0,0.0,0.0
2007-06-30,-0.018346230697281918,-0.018346230697281918,-0.01462124452271718
2007-07-31,-0.04077364914504611,-0.04077364914504611,-0.045473653103192735
2007-08-31,-0.037070165549404566,-0.037070165549404566,-0.033224179515227714
2007-09-30,0.0,0.0,0.0
2007-10-31,0.0,0.0,0.0
2007-11-30,-0.05628396171172578,-0.05628396171172578,-0.03873234242017087
2007-12-31,-0.027744968601329467,-0.027744968601329578,-0.049556855375959996
2008-01-31,-0.10497779757211256,-0.10497779757211256,-0.10702169674699435
2008-02-29,-0.08270641029600145,-0.08270641029600145,-0.13009813019932104
2008-03-31,-0.08454773459494491,-0.08454773459494502,-0.13787715152648938
2008-04-30,-0.027936412686117795,-0.027936412686117795,-0.09678666729740704
2008-05-31,0.0,0.0,-0.08313289670504975
2008-06-30,-0.02820137880415241,-0.02820137880415241,-0.15976097347684393
2008-07-31,-0.11140555706801891,-0.1114055570680188,-0.16731122450428426
2008-08-31,-0.10732837815701723,-0.10732837815701712,-0.15444301635198576
2008-09-30,-0.20153370579940377,-0.20153370579940355,-0.2340721882152752
2008-10-31,-0.3007826234020853,-0.3007826234020853,-0.36059338430646826
2008-11-30,-0.30623110741210635,-0.3058531768038272,-0.4051001855304275
2008-12-31,-0.2951191779638632,-0.29541990435487564,-0.3992725339957306
2009-01-31,-0.31528624684372253,-0.3146449755210933,-0.44860075759469953
2009-02-28,-0.3905993081873178,-0.38964178763952717,-0.507847936388697
2009-03-31,-0.3659051922671259,-0.3664435458047308,-0.466846522279339
2009-04-30,-0.3353062247919436,-0.3390890610682067,-0.4138796873237083
2009-05-31,-0.31074614846964876,-0.31668052344141406,-0.3796187203228024
2009-06-30,-0.3042614987401209,-0.3107754522259649,-0.38002500750966395
2009-07-31,-0.2530711550016854,-0.2648924411015523,-0.33377164235950496
2009-08-31,-0.23746072412186114,-0.2515864313288626,-0.3091613466432446
2009-09-30,-0.2159610094598985,-0.2334572064995163,-0.28466616332121575
2009-10-31,-0.2311317663606398,-0.24752609778782597,-0.2984187006248694
2009-11-30,-0.17240785896172994,-0.19005434148383138,-0.2551965592614468
2009-12-31,-0.13803689070840852,-0.15641625439319118,-0.240969927891297
2010-01-31,-0.19584368427052756,-0.21299045218540247,-0.26855506864044043
2010-02-28,-0.1596366238259731,-0.1775554233100578,-0.2457376727058196
2010-03-31,-0.08876961147527374,-0.10819948559724868,-0.1998185629194168
2010-04-30,-0.05352572399604294,-0.0737070922581542,-0.18743975559602455
2010-05-31,-0.13338732893057048,-0.15186583373400253,-0.25200132455440893
2010-06-30,-0.19720189705658497,-0.2143197042346403,-0.2907035382793387
2010-07-31,-0.13090816418287154,-0.15220622493088776,-0.2422580508202523
2010-08-31,-0.18515872766096508,-0.20215619123355777,-0.2763418472408663
2010-09-30,-0.1163232090054076,-0.1422701581166046,-0.21153474673160844
2010-10-31,-0.08242892600439689,-0.11455855585376395,-0.18141367024094612
2010-11-30,-0.06750000192491956,-0.10235449807085639,-0.18141367024094612
2010-12-31,-0.0028745574275246266,-0.047561556457936804,-0.1266894319549654
2011-01-31,0.0,-0.0189216324242244,-0.1063409960186491
2011-02-28,0.0,0.0,-0.07529784293086994
2011-03-31,0.0,0.0,-0.07518674769600375
2011-04-30,0.0,0.0,-0.048402683933434054
2011-05-31,-0.032308669112321775,-0.03187331982821151,-0.059074337049229375
2011-06-30,-0.04156548722186815,-0.04113430243630056,-0.07494744966828348
2011-07-31,-0.05270634978183464,-0.05228017709711463,-0.09345284059225989
2011-08-31,-0.12370995404503848,-0.1233157247779133,-0.14329096638517258
2011-09-30,-0.19938242405226148,-0.19902223865283764,-0.20276424891621558
2011-10-31,-0.1623439685796747,-0.16196712015500714,-0.11574814433210345
2011-11-30,-0.15737547291002918,-0.15699638923641002,-0.11934149338453515
2011-12-31,-0.1462544985227222,-0.14587041169563508,-0.11014005133514115
2012-01-31,-0.15174461350365165,-0.15136299659393415,-0.06887322766218706
2012-02-29,-0.13643793065122323,-0.13604942750287863,-0.028457418422401792
2012-03-31,-0.1107126631206421,-0.11031258657441168,0.0
2012-04-30,-0.1103590346334079,-0.10995879899521932,-0.0066756174956543735
2012-05-31,-0.1441069493518955,-0.14372189637582644,-0.06633057429635858
2012-06-30,-0.11675434614465097,-0.1163569876576771,-0.02844120270243311
2012-07-31,-0.09693327280772901,-0.09652699712803858,-0.016947912819690214
2012-08-31,-0.09817849101624199,-0.09777277554086317,0.0
2012-09-30,-0.07346099908906922,-0.07304416359837962,0.0
2012-10-31,-0.09201580858905589,-0.0916073206186705,-0.018197775300110464
2012-11-30,-0.08380397099405412,-0.08339178864561236,-0.012641339956499631
2012-12-31,-0.0693262198359238,-0.0689075241723357,-0.0038200701885925392
2013-01-31,-0.00942686088390099,-0.008981217430035215,0.0
2013-02-28,0.0,0.0,0.0
2013-03-31,0.0,0.0,0.0
2013-04-30,0.0,0.0,0.0
2013-05-31,0.0,0.0,0.0
2013-06-30,-0.004803021818061692,-0.004803021818061803,-0.013344558765767456
2013-07-31,0.0,0.0,0.0
2013-08-31,-0.038330106052934854,-0.038330106052934965,-0.029992135410063625
2013-09-30,-0.0016203311478792948,-0.0016203311478791838,0.0
2013-10-31,0.0,0.0,0.0
2013-11-30,0.0,0.0,0.0
2013-12-31,0.0,0.0,0.0
2014-01-31,-0.031431501466886225,-0.031431501466886225,-0.035248114608130265
